日付,Tweets published,インプレッション,エンゲージメント,エンゲージメント率,リツイート,返信,いいね,ユーザープロフィールクリック,URLクリック数,ハッシュタグクリック,詳細クリック,固定リンクのクリック数,アプリ表示,アプリインストール,フォローしている,ツイートをメール送信,ダイアル式電話,メディアの再生数,メディアのエンゲージメント数,プロモのインプレッション,プロモのエンゲージメント,プロモのエンゲージメント率,プロモのリツイート,プロモの返信,プロモのいいね,プロモのユーザープロフィールクリック,プロモのURLクリック数,プロモのハッシュタグクリック,プロモの詳細クリック,プロモの固定リンクのクリック数,プロモのアプリ表示,プロモのアプリインストール,プロモのフォローしている,プロモのツイートをメール送信,プロモのダイアル式電話,プロモのメディアの再生数,プロモのメディアのエンゲージメント数
2020-08-01,3,523,29,0.055449330783938800,6,2,4,2,2,0,13,0,0,0,0,0,0,5,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2020-08-02,0,160,2,0.0125,0,0,0,0,1,0,0,0,0,0,0,0,0,3,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2020-08-03,0,160,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2020-08-04,1,467,25,0.05353319057815850,3,0,2,5,0,0,3,0,0,0,0,0,0,15,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2020-08-05,2,635,29,0.04566929133858270,12,0,2,0,3,0,6,0,0,0,0,0,0,6,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2020-08-06,0,78,2,0.02564102564102560,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2020-08-07,0,97,2,0.020618556701030900,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2020-08-08,0,38,2,0.05263157894736840,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2020-08-09,0,73,9,0.1232876712328770,0,0,0,1,0,0,1,0,0,0,0,0,0,7,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2020-08-10,0,42,1,0.023809523809523800,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2020-08-11,0,45,2,0.044444444444444400,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2020-08-12,0,29,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2020-08-13,0,28,2,0.07142857142857140,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2020-08-14,1,43,1,0.023255813953488400,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2020-08-15,0,142,5,0.035211267605633800,0,0,0,0,0,1,1,0,0,0,0,0,0,7,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2020-08-16,1,604,33,0.054635761589404000,3,1,1,3,2,0,11,0,0,0,0,0,0,12,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2020-08-17,0,28,1,0.03571428571428570,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2020-08-18,0,48,3,0.0625,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2020-08-19,0,23,2,0.08695652173913040,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2020-08-20,2,470,27,0.0574468085106383,8,0,6,2,0,0,11,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2020-08-21,1,397,19,0.04785894206549120,5,0,7,1,0,0,6,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2020-08-22,1,724,23,0.031767955801105000,3,0,5,6,0,0,6,0,0,0,0,0,0,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2020-08-23,0,72,1,0.013888888888888900,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2020-08-24,0,49,2,0.04081632653061220,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2020-08-25,0,62,2,0.03225806451612900,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2020-08-26,0,33,1,0.030303030303030300,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2020-08-27,0,52,2,0.038461538461538500,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2020-08-28,0,34,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2020-08-29,1,42,3,0.07142857142857140,0,0,0,1,0,0,0,0,0,0,0,0,0,3,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2020-08-30,0,31,1,0.03225806451612900,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2020-08-31,0,47,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
